AddressID,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode,rowguid,ModifiedDate
9,8713 Yosemite Ct.,NULL,Bothell,Washington,United States,98011,268AF621-76D7-4C78-9441-144FD139821A,00:00.0
11,1318 Lasalle Street,NULL,Bothell,Washington,United States,98011,981B3303-ACA2-49C7-9A96-FB670785B269,00:00.0
25,9178 Jumping St.,NULL,Dallas,Texas,United States,75201,C8DF3BD9-48F0-4654-A8DD-14A67A84D3C6,00:00.0
28,9228 Via Del Sol,NULL,Phoenix,Arizona,United States,85004,12AE5EE1-FC3E-468B-9B92-3B970B169774,00:00.0
32,26910 Indela Road,NULL,Montreal,Quebec,Canada,H1Y 2H5,84A95F62-3AE8-4E7E-BBD5-5A6F00CD982D,00:00.0
185,2681 Eagle Peak,NULL,Bellevue,Washington,United States,98004,7BCCF442-2268-46CC-8472-14C44C14E98C,00:00.0
297,7943 Walnut Ave,NULL,Renton,Washington,United States,98055,52410DA4-2778-4B1D-A599-95746625CE6D,00:00.0
445,6388 Lake City Way,NULL,Burnaby,British Columbia,Canada,V5A 3A6,53572F25-9133-4A8B-A065-102FF35416EE,00:00.0
446,52560 Free Street,NULL,Toronto,Ontario,Canada,M4B 1V7,801A1DFC-5125-486B-AA84-CCBD2EC57CA4,00:00.0
447,22580 Free Street,NULL,Toronto,Ontario,Canada,M4B 1V7,88CEE379-DBB8-433B-B84E-A35E09435500,00:00.0
448,2575 Bloor Street East,NULL,Toronto,Ontario,Canada,M4B 1V6,2DF6D0AD-0926-4F34-A450-9B1083150CBF,00:00.0
449,Station E,NULL,Chalk Riber,Ontario,Canada,K0J 1J0,8B5A7729-CB75-4303-A607-7F9793B4D94F,00:00.0
450,575 Rue St Amable,NULL,Quebec,Quebec,Canada,G1R,5F3C345A-6475-41D5-B17B-DB8D27733BB1,00:00.0
451,2512-4th Ave Sw,NULL,Calgary,Alberta,Canada,T2P 2G8,49644F1E-6F90-46D9-8DBB-9DB15F0EF7EC,00:00.0
452,55 Lakeshore Blvd East,NULL,Toronto,Ontario,Canada,M4B 1V6,A358652F-0E00-49E6-B6B0-DE1099C43506,00:00.0
